toolId	target	subject	category	educationLevels	expression	additionalBranches	symbolic	canonicalUnit	method	exactness	constraints	sourceRefs
chem-v4-calorimetry	c	Chemistry	Chemistry Expansion	GENERAL	q/(m*dT)			J/(g*K)	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-calorimetry	dT	Chemistry	Chemistry Expansion	GENERAL	q/(m*c)			K	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-calorimetry	m	Chemistry	Chemistry Expansion	GENERAL	q/(c*dT)			g	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-calorimetry	q	Chemistry	Chemistry Expansion	GENERAL	m*c*dT			J	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-faraday-electrolysis	I	Chemistry	Chemistry Expansion	GENERAL	m*z*96485.33212/(t*M)			A	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-faraday-electrolysis	M	Chemistry	Chemistry Expansion	GENERAL	m*z*96485.33212/(I*t)			g/mol	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-faraday-electrolysis	m	Chemistry	Chemistry Expansion	GENERAL	I*t*M/(z*96485.33212)			g	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-faraday-electrolysis	t	Chemistry	Chemistry Expansion	GENERAL	m*z*96485.33212/(I*M)			s	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-faraday-electrolysis	z	Chemistry	Chemistry Expansion	GENERAL	I*t*M/(m*96485.33212)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-first-order-half-life	k	Chemistry	Chemistry Expansion	GENERAL	ln(2)/t_half			1/s	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
chem-v4-first-order-half-life	t_half	Chemistry	Chemistry Expansion	GENERAL	ln(2)/k			s	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
chem-v4-first-order-rate	C	Chemistry	Chemistry Expansion	GENERAL	rate/k			mol/L	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-first-order-rate	k	Chemistry	Chemistry Expansion	GENERAL	rate/C			1/s	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-first-order-rate	rate	Chemistry	Chemistry Expansion	GENERAL	k*C			mol/(L*s)	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-mass-fraction	m_solute	Chemistry	Chemistry Expansion	GENERAL	w*m_solution			g	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
chem-v4-mass-fraction	m_solution	Chemistry	Chemistry Expansion	GENERAL	m_solute/w			g	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
chem-v4-mass-fraction	w	Chemistry	Chemistry Expansion	GENERAL	m_solute/m_solution				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
chem-v4-molality	b	Chemistry	Chemistry Expansion	GENERAL	n/kg			mol/kg	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
