sourceRefs	grade/level	toolId	title	category	topic	formula	supportedSolveTargets	calculationMethod	exactness	offlinePolicy	status	boundaryNotes
OPENSTAX_UNIVERSITY_PHYSICS|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	Advanced	physics-advanced-v4-buoyancy	Archimedes Buoyant Force	Advanced Physics	Fluids	F = rho*g*V	F,V,rho	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
OPENSTAX_UNIVERSITY_PHYSICS|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	Advanced	physics-advanced-v4-continuity	Fluid Continuity Equation	Advanced Physics	Fluids	A1*v1 = A2*v2	A1,A2,v1,v2	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
OPENSTAX_UNIVERSITY_PHYSICS|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	Advanced	physics-advanced-v4-hydrostatic-pressure	Hydrostatic Pressure	Advanced Physics	Fluids	p = rho*g*h	h,p,rho	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
OPENSTAX_UNIVERSITY_PHYSICS|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	Advanced	physics-advanced-v4-relativity-gamma	Relativistic Lorentz Factor	Advanced Physics	Relativity	gamma = 1/sqrt(1-v^2/c^2)	gamma,v	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	Advanced	physics-g11-binding-energy	Nuclear Binding Energy from Mass Defect	Advanced Physics	Nuclear physics	E=dm*c^2	E,dm	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	Advanced	physics-g11-de-broglie	de Broglie Wavelength	Advanced Physics	Quantum physics	lambda=h/p	lambda,p	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	Advanced	physics-g11-half-life	Half-Life and Decay Constant	Advanced Physics	Nuclear physics	T_half=ln(2)/lambda	T_half,lambda	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	Advanced	physics-g11-mass-energy	Mass–Energy Equivalence	Advanced Physics	Relativity	E=m*c^2	E,m	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	Advanced	physics-g11-photoelectric	Photoelectric Maximum Kinetic Energy	Advanced Physics	Quantum physics	Kmax=h*f-phi	Kmax,f,phi	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	Advanced	physics-g11-photon-energy	Photon Energy	Advanced Physics	Quantum physics	E=h*f	E,f	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	Advanced	physics-g11-radioactive-decay	Radioactive Decay	Advanced Physics	Nuclear physics	N=N0*exp(-lambda*t)	N,N0,lambda,t	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
UZB_G11_OFFICIAL_CURRICULUM|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	Advanced	physics-g11-v4-photon-momentum	Photon Momentum	Grade 11 Physics	Quantum physics	p = h/lambda	lambda,p	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
UZB_G11_OFFICIAL_CURRICULUM|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	Advanced	physics-g11-v4-radioactive-activity	Radioactive Activity	Grade 11 Physics	Nuclear physics	A = lambda*N	A,N,lambda	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
